,keywords,relevance,paper,conference
0,['object detection textual'],[0.6309],['paperTitel'],['conferenceTitel']
1,['description object proposals'],[0.567],['paperTitel'],['conferenceTitel']
2,['takes description image'],[0.4126],['paperTitel'],['conferenceTitel']
3,['existing zeroshot'],[0.4049],['paperTitel'],['conferenceTitel']
4,['ject detection fair'],[0.3631],['paperTitel'],['conferenceTitel']
5,['instance absence training'],[0.3502],['paperTitel'],['conferenceTitel']
6,['collection largescale labeled'],[0.3411],['paperTitel'],['conferenceTitel']
7,['novel deep learning'],[0.3303],['paperTitel'],['conferenceTitel']
8,['learn visual'],[0.3281],['paperTitel'],['conferenceTitel']
9,['focus concept classiﬁcation'],[0.3148],['paperTitel'],['conferenceTitel']
10,['attention contribute good'],[0.3044],['paperTitel'],['conferenceTitel']
11,['words adaptive wordlevel'],[0.3041],['paperTitel'],['conferenceTitel']
12,['lect enough training'],[0.2696],['paperTitel'],['conferenceTitel']
13,['language scription aims'],[0.2195],['paperTitel'],['conferenceTitel']
14,['aims concurrently detecting'],[0.2153],['paperTitel'],['conferenceTitel']
15,['important realworld'],[0.1914],['paperTitel'],['conferenceTitel']
16,['acquire larger datasets'],[0.1775],['paperTitel'],['conferenceTitel']
17,['recog nize locate'],[0.1762],['paperTitel'],['conferenceTitel']
18,['descriptions zhihui'],[0.174],['paperTitel'],['conferenceTitel']
19,['cannot directly applied'],[0.1191],['paperTitel'],['conferenceTitel']
