,keywords,relevance,paper,conference
0,['object detection textual'],[0.6309],['paperTitel'],['conferenceTitel']
1,['visualunit attention wordlevel'],[0.5112],['paperTitel'],['conferenceTitel']
2,['existing zeroshot'],[0.4049],['paperTitel'],['conferenceTitel']
3,['captured detail instance'],[0.3766],['paperTitel'],['conferenceTitel']
4,['datasets images videos'],[0.3306],['paperTitel'],['conferenceTitel']
5,['training examples although'],[0.3212],['paperTitel'],['conferenceTitel']
6,['need deep domain'],[0.3172],['paperTitel'],['conferenceTitel']
7,['attention contribute good'],[0.3044],['paperTitel'],['conferenceTitel']
8,['description wordbyword'],[0.2765],['paperTitel'],['conferenceTitel']
9,['nity challenge approach'],[0.2693],['paperTitel'],['conferenceTitel']
10,['relevance tests tools'],[0.2624],['paperTitel'],['conferenceTitel']
11,['categorization excluded empty'],[0.2581],['paperTitel'],['conferenceTitel']
12,['neuralworks predict spec'],[0.2528],['paperTitel'],['conferenceTitel']
13,['another interesting feature'],[0.2517],['paperTitel'],['conferenceTitel']
14,['tasks data cleaning'],[0.2136],['paperTitel'],['conferenceTitel']
15,['busi ness warehouse'],[0.1967],['paperTitel'],['conferenceTitel']
16,['macros menu items'],[0.1805],['paperTitel'],['conferenceTitel']
17,['wwwangosscom'],[0.1732],['paperTitel'],['conferenceTitel']
18,['chances false positives'],[0.172],['paperTitel'],['conferenceTitel']
19,['billion usd called'],[0.1554],['paperTitel'],['conferenceTitel']
