,keywords,relevance,paper,conference
0,['name entity recognition'],[0.7016],['paperTitel'],['conferenceTitel']
1,['information retrieval machine'],[0.4556],['paperTitel'],['conferenceTitel']
2,['text learning extract'],[0.4335],['paperTitel'],['conferenceTitel']
3,['improve classification support'],[0.3772],['paperTitel'],['conferenceTitel']
4,['svm fuzzy method'],[0.3761],['paperTitel'],['conferenceTitel']
5,['question answering summarization'],[0.3479],['paperTitel'],['conferenceTitel']
6,['search bioinformatics nowadays'],[0.3247],['paperTitel'],['conferenceTitel']
7,['malaysia summary recognizing'],[0.3043],['paperTitel'],['conferenceTitel']
8,['ijcsns international journal'],[0.2749],['paperTitel'],['conferenceTitel']
9,['expressions refer peoples'],[0.2663],['paperTitel'],['conferenceTitel']
10,['month name visited'],[0.2606],['paperTitel'],['conferenceTitel']
11,['ner compare'],[0.2577],['paperTitel'],['conferenceTitel']
12,['raw documents goal'],[0.2564],['paperTitel'],['conferenceTitel']
13,['defining token'],[0.2378],['paperTitel'],['conferenceTitel']
14,['numex task identify'],[0.2081],['paperTitel'],['conferenceTitel']
15,['conference muc definitions'],[0.1967],['paperTitel'],['conferenceTitel']
16,['using message'],[0.1715],['paperTitel'],['conferenceTitel']
17,['test set subcategorize'],[0.166],['paperTitel'],['conferenceTitel']
18,['ministry candidate white'],[0.1553],['paperTitel'],['conferenceTitel']
19,['base'],[0.1511],['paperTitel'],['conferenceTitel']
