,keywords,number_of_times_word_appeared,idf,tf,tf_idf
0,['data'],159,-5.0689042022202315,0.0048677443056576045,-0.024674129566281434
33,['ana'],110,-4.700480365792417,0.0033676218466813616,-0.01582944036973934
99,['pro'],95,-4.553876891600541,0.0029084006857702667,-0.013244498674444383
1347,['tive'],93,-4.532599493153256,0.002847171197648788,-0.012905086727383445
652,['sci'],79,-4.3694478524670215,0.0024185647807984326,-0.010567792687512085
1937,['tics'],76,-4.330733340286331,0.0023267205486162137,-0.01007640625342154
1196,['search'],58,-4.060443010546419,0.0017756551555228998,-0.007209946565383673
113,['ment'],57,-4.04305126783455,0.0017450404114621601,-0.007055287847984612
4,['big'],53,-3.970291913552122,0.0016225814352192015,-0.006442121951330592
544,['edi'],51,-3.9318256327243257,0.0015613519470977222,-0.00613896360730286
28,['scm'],48,-3.871201010907891,0.0014695077149155032,-0.005688759751517841
731,['age'],48,-3.871201010907891,0.0014695077149155032,-0.005688759751517841
1552,['com'],45,-3.8066624897703196,0.0013776634827332844,-0.005244299903247134
288,['able'],45,-3.8066624897703196,0.0013776634827332844,-0.005244299903247134
24,['research'],44,-3.784189633918261,0.0013470487386725448,-0.005097487873267312
34,['lytics'],43,-3.7612001156935624,0.0013164339946118051,-0.00495137169283686
788,['ers'],42,-3.7376696182833684,0.0012858192505510655,-0.004805967547388608
527,['predict'],41,-3.713572066704308,0.0012552045064903258,-0.00466129239330384
3,['analytics'],40,-3.6888794541139363,0.0012245897624295861,-0.004517364014344767
112,['manage'],39,-3.6635616461296463,0.0011939750183688465,-0.004374201083733046
2,['predictive'],36,-3.58351893845611,0.0011021307861866275,-0.003949506544955302
282,['use'],36,-3.58351893845611,0.0011021307861866275,-0.003949506544955302
1,['science'],34,-3.5263605246161616,0.0010409012980651482,-0.0036705932475186594
304,['ply'],34,-3.5263605246161616,0.0010409012980651482,-0.0036705932475186594
303,['sup'],31,-3.4339872044851463,0.0009490570658829292,-0.0032590498205681954
